Name,EDI,UNECE Code,ICEGATE EmailAddress
BORKHEDI ICD ,INBOA6,INBOA6,INBOA6@icegate.gov.in
BRANDIX  INDIA APPAREL CITY PV,AKB,INAKB6,INAKB6@icegate.gov.in
Calicut ACC,CCJ,INCCJ4,inccj4@icegate.gov.in
Car Nicobar,CNB,INCNB1,incnb1@icegate.gov.in
CFS Nasik ICD,NSK,INNSK6,innsk6@icegate.gov.in
Chakeri Kanpur ICD,CPC,INCPC6,incpc6@icegate.gov.in
Chamurchi LCS,HMB,INCHMB,inchmb@icegate.gov.in
Changra-Bandha,BDB,INCBDB,incbdb@icegate.gov.in
CHEHERTA AMRITSAR ICD,ATQ,INASR6,INASR6@icegate.gov.in
Chennai (EPZ/SEZ),MAA,INMAA6,INMAA6@icegate.gov.in
Chennai Air Cargo,MAA,INMAA4,inmaa4@icegate.gov.in
Chennai Sea,MAA,INMAA1,inmaa1@icegate.gov.in
Chettipalaym ICD,CHE,INCHE6,inche6@icegate.gov.in
CHEYYAR SEZ DEVELOPERS,KTY,INKTY6,INKTY6@icegate.gov.in
"CHEYYAR SEZ, THIRUVANNAMALAI",VTC,INVTC6,INVTC6@icegate.gov.in
Chinchwad Pune ICD,CCH,INCCH6,incch6@icegate.gov.in
CMA CGM Logistics Park,CPL,INCPL6,incpl6@icegate.gov.in
Cochin Air Cargo,COK,INCOK4,incok4@icegate.gov.in
Cochin ICD,COK,INCOK6,incok6@icegate.gov.in
Cochin Sea,COK,INCOK1,incok1@icegate.gov.in
Coimbatore ACC,CJB,INCJB4,incjb4@icegate.gov.in
Concor Jodhpur ICD,BGK,INBGK6,inbgk6@icegate.gov.in
CUDDALORE PORT,CDL,INCDL1,INCDL1@icegate.gov.in
Dabgram ICD,NJP,INNJP6,innjp6@icegate.gov.in
DABHOL PORT,INDHP1,INDHP1,indhp1@icegate.gov.in
Dadri ICD,DER,INDER6,inder6@icegate.gov.in
DAHANU PORT,DHU,INDHU1,indhu1@icegate.gov.in
DAHEJ,DAH,INDAH1,indah1@icegate.gov.in
DAHEZ SEZ,BHD,INBHD6,inbhd6@icegate.gov.in
Dashrath Vadodra ICD,BRC,INBRC6,inbrc6@icegate.gov.in
DEIPL-Kurubarapalli,KML,INKML6,inkml6@icegate.gov.in
Delhi Air Cargo,DEL,INDEL4,indel4@icegate.gov.in
Dhahanu Port,DHU,INDHU1,indhu1@icegate.gov.in
DHAHANU PORT	,DHU,INDHU1,INDHU1@icegate.gov.in
DHAMRA Port,DMA,INDMA1,INDMA1@icegate.gov.in
Dhannad ICD,DHA,INDHA6,INDHA6@icegate.gov.in
DHARAMTAR PORT,DMT,INDMT1,indmt1@icegate.gov.in
Dighi ICD,DIG,INDIG6,indig6@icegate.gov.in
Dighi Port,DIG,INDIG1,indig1@icegate.gov.in
DLF infocity Developers (Chenn,INCJD6,INCJD6,INCJD6@icegate.gov.in
FAB City SPV (India) Limited,INURF6,INURF6,INURF6@icegate.gov.in
"FALTA SEZ, KOLKATA",INFLT6,INFLT6,inflt6@icegate.gov.in
Faridabad ICD,FBD,INFBD6,infbd6@icegate.gov.in
Faridabad ICD (Sec-25),BVC,INBVC6,inbvc6@icegate.gov.in
Ftil-SEZ / Sriperumbudur,CJF,INCJF6,incjf6@icegate.gov.in
Fulbari,BRB,INFBRB,infbrb@icegate.gov.in
Gandhidham ICD,GIN,INGIN6,ingin6@icegate.gov.in
Gangavaram ICD,GGV,INGGV1,inggv1@icegate.gov.in
Gari Harsaru ICD,GHR,INGHR6,inghr6@icegate.gov.in
GIFT CITY,GNC,INGNC6,INGNC6@icegate.gov.in
GMR HYDERABAD AVIATION SEZ,INURG6,INURG6,INURG6@icegate.gov.in
Goa ACC,GOI,INGOI4,ingoi4@icegate.gov.in
Goa Sea,MRM,INMRM1,inmrm1@icegate.gov.in
Goa Sea (OLD),GOI,INGOI1,ingoi1@icegate.gov.in
GRFL SAHNEWAL LUUDHIANA ICD,SGF,INSGF6,INSGF6@icegate.gov.in
GUWAHATI AIR CARGO	,GAU,INGAU4,INGAU4@icegate.gov.in
Haldia Dock Complex,HAL,INHAL1,INHAL1@icegate.gov.in
HALDIBARI RAILWAY STATION,INHLD,INHLD2,inhld2@icegate.gov.in
"Hapapsar, SEZ, Pune",PNQ,INPNQ6,inpnq6@icegate.gov.in
Hazira,HZA,INHZA1,inhza1@icegate.gov.in
Hemnagar LCS,HND,INHND6,inhnd6@icegate.gov.in
HTPL ICD Kilaraipur,QRH,INQRH6,inqrh6@icegate.gov.in
Hyderabad Air Cargo,HYD,INHYD4,inhyd4@icegate.gov.in
Hyderabad ICD,SNF,INSNF6,insnf6@icegate.gov.in
Ibrahimpur ICD,AIK,INAIK6,INAIK6@icegate.gov.in
ICD Amingaon,AMG,INAMG6,inamg6@icegate.gov.in
ICD BADDI,BDI,INBDI6,inbdi6@icegate.gov.in
ICD BALLI,INBLO,INBLO6,inblo6@icegate.gov.in
ICD Barhi,RUG6,INRUG6,inrug6@icegate.gov.in
"ICD Bihta, Bihar",INBTA6,INBTA6,INBTA6@icegate.gov.in
ICD Borkhedi,BOK,INBOK6,inbok6@icegate.gov.in
ICD BUTIBORI,INNGB6,INNGB6,INNGB6@icegate.gov.in
ICD CHAWAPAYAL,CPR,INCPR6,INCPR6@icegate.gov.in
ICD Concor (Ludhiana),LDH,INLDH6,inldh6@icegate.gov.in
ICD Dahej,DAH,INDAH6,INDAH6@icegate.gov.in
ICD Dalpatpur,HTG,INHTG6,INHTG6@icegate.gov.in
ICD DAPPAR,INDPR6,INDPR6,indpr6@icegate.gov.in
ICD Dhanakya,INDNK6,INDNK6,INDNK6@icegate.gov.in
"ICD DHIRPUR,TEH- SHAHABAD",INDPP6,INDPP6,INDPP6@ICEGATE.GOV.IN
ICD Durgapur,DUR,INDUR6,indur6@icegate.gov.in
ICD HASSAN,HAS,INHAS6,INHAS6@icegate.gov.in
ICD HOSUR,HSU,INHSU6,INHSU6@icegate.gov.in
ICD JAMSHEDPUR,IXW,INIXW6,INIXW6@icegate.gov.in
ICD Kottayam,KYM,INKYM6,inkym6@icegate.gov.in
ICD MALANPUR,INMPR6,INMPR6,INMPR6@icegate.gov.in
ICD Malur,MLO,INMLO6,INMLO6@icegate.gov.in
ICD MORBI,WDH,INWDH6,INWDH6@icegate.gov.in
ICD Panki,PNK,INPNK6,inpnk6@icegate.gov.in
ICD Pantnagar,HDD,INHDD6,inhdd6@icegate.gov.in
ICD Piyala,BFR,INBFR6,inbfr6@icegate.gov.in
ICD PLIL GHUNGRANA,GPL,INGPL6,INGPL6@icegate.gov.in
ICD Powarkheda,PRK,INPRK6,INPRK6@icegate.gov.in
ICD Ratlam,RTM,INRTM6,INRTM6@icegate.gov.in
"ICD Sabarmati, Ahmedabad",SBI,INSBI6,insbi6@icegate.gov.in
ICD SACHANA,JKA,INJKA6,injka6@icegate.gov.in
ICD Thimmapur,TMX,INTMX6,INTMX6@icegate.gov.in
ICD Tondiapet,TVT,INTVT6,intvt6@icegate.gov.in
ICD TUMB,SAJ,INSAJ6,INSAJ6@icegate.gov.in
ICD VARNAMA,VRM,INVRM6,INVRM6@icegate.gov.in
ICD VIRAMGAM,VGR,INVGR6,invgr6@icegate.gov.in
ICD Virochan Nagar,VCN,INVCN6,INVCN6@icegate.gov.in
ICD Wardha,CHJ,INCHJ6,inchj6@icegate.gov.in
INDORE (EPZ/SEZ),IDR,INIDR6,inidr6@icegate.gov.in
Indore Acc,IDR,INIDR4,inidr4@icegate.gov.in
INDOS6,DOS,INDOS6,indos6@icegate.gov.in
Integrated Chennai Business Pa,INAIP6,INAIP6,INAIP6@icegate.gov.in
Irugur ICD,IGU,INIGU6,inigu6@icegate.gov.in
Irungattukottai ICD,ILP,INILP6,inilp6@icegate.gov.in
J Matadee Free Trade Zone P Li,INCJJ6,INCJJ6,INCJJ6@icegate.gov.in
Jaigad,JGD,INJGD1,INJGD1@icegate.gov.in
Jaigaon,IGB,INJIGB,injigb@icegate.gov.in
Jaipur Air Cargo,JAI,INJAI4,injai4@icegate.gov.in
Jaipur ICD,JAI,INJAI6,injai6@icegate.gov.in
JAJPUR ICD,JJK,INJJK6,INJJK6@icegate.gov.in
JAKHAU PORT,JAK,INJAK1,injak1@icegate.gov.in
Jalandhar,JUC,INJUC6,injuc6@icegate.gov.in
Janori ACC,JNR,INJNR4,injnr4@icegate.gov.in
Janori ICD,JNR,INJNR6,injnr6@icegate.gov.in
Jattipur ICD,DWN,INDWN6,INDWN6@icegate.gov.in
JNPT SEZ,INPJN6,INPJN6,INPJN6@icegate.gov.in
JRY Kanpur ICD,KNU,INKNU6,inknu6@icegate.gov.in
Kakinada Sea,KAK,INKAK1,inkak1@icegate.gov.in
Kalinganagar ICD,SKD,INSKD6,inskd6@icegate.gov.in
Kamarajar Port LTD,ENR,INENR1,inenr1@icegate.gov.in
Kanakpura ICD,KKU,INKKU6,inkku6@icegate.gov.in
Kandla Sea,IXY,INIXY1,inixy1@icegate.gov.in
Kandla SEZ/Gandhidham,KDL,INKDL6,INKDL6@icegate.gov.in
Kanech Sahnewal ICD,BDM,INSNI6,INSNI6@icegate.gov.in
Kanpur,KNU,INKNU4,INKNU4@icegate.gov.in
Karaikal,KRK,INKRK1,inkrk1@icegate.gov.in
Karur ICD,KAR,INKAR6,inkar6@icegate.gov.in
KARWAR PORT,INKRW1,INKRW1,INKRW1@icegate.gov.in
Kashipur ICD,HPI,INHPI6,inhpi6@icegate.gov.in
Kathuwas ICD,CML,INCML6,INCML6@icegate.gov.in
Kattupalli,KAT,INKAT1,inkat1@icegate.gov.in
Kern Madurai ICD,MDU,INMDU6,inmdu6@icegate.gov.in
Kheda ICD,KHD,INKHD6,INKHD6@icegate.gov.in
KIADB AEROSPACE SEZ,SBK,INSBK6,INSBK6@icegate.gov.in
Kilaraipur Adani ICD,QRP,INQRP6,inqrp6@icegate.gov.in
Kolkata Air Cargo,CCU,INCCU4,inccu4@icegate.gov.in
Kolkata Sea,CCU,INCCU1,inccu1@icegate.gov.in
Kota ICD,KTT,INKTT6,inktt6@icegate.gov.in
Kotawalighat,MHD,INMHDB,inmhdb@icegate.gov.in
Kribhco ICD,KBC,INKBC6,INKBC6@icegate.gov.in
Krishnapatnam,KRI,INKRI1,inkri1@icegate.gov.in
L&T SHIPBUILDING LTD SEZ KATTU,INTLT6,INTLT6,INTLT6@icegate.gov.in
LCS DARRANGA,INDRGB,INDRGB,indrgb@icegate.gov.in
LCS GHOJADANGA,INGJXB,INGJXB,ingjxb@icegate.gov.in
LCS HILLI,INHLIB,INHLIB,inhlib@icegate.gov.in
LCS Jogbani,JBN,INJBNB,INJBNB@icegate.gov.in
LCS KULKULI,INKMAB,INKMAB,inkmab@icegate.gov.in
LCS MAHADIPUR,MHD,INMHDB,inmhdb@icegate.gov.in
Loni ICD,LON,INLON6,inlon6@icegate.gov.in
Lucknow Air Cargo,INLKO,INLKO4,inlko4@icegate.gov.in
Ludhiana ICD,LDA,INLDA6,inlda6@icegate.gov.in
Madhosingh ICD,MBS,INMBS6,INMBS6@icegate.gov.in
MADURAI AIR CARGO,INIXM4,INIXM4,INIXM4@icegate.gov.in
MAGDALLA,MDA,INMDA1,inmda1@icegate.gov.in
Maharashtra Airport Developmen,KRM,INKRM6,INKRM6@icegate.gov.in
Maharashtra Industrial Develop,INAWM6,INAWM6,INAWM6@icegate.gov.in
Mahindra World City Developers,CGA,INCGA6,INCGA6@icegate.gov.in
Mahindra World City-Auto Engin,INCGL6,INCGL6,INCGL6@icegate.gov.in
Malanpur ICD,BDM,INGWL6,INGWL6@icegate.gov.in
Maliwada ICD,MWA,INMWA6,inmwa6@icegate.gov.in
MANDIDEEP ICD,MDD,INMDD6,inmdd6@icegate.gov.in
MANGALORE AIR CARGO,IXE,INIXE4,INIXE4@icegate.gov.in
Mangalore Sea,NML,INNML1,innml1@icegate.gov.in
Manu LCS,INMNUB,INMNUB,INMNUB@icegate.gov.in
Marripalem ICD,GNR,INGNR6,ingnr6@icegate.gov.in
MIHAN ICD,KPK,INKPK6,inkpk6@icegate.gov.in
MODINAGAR ICD,MUZ,INMUZ6,inmuz6@icegate.gov.in
Moradabad,MBC,INMBC6,INMBC6@icegate.gov.in
Muhurighat,MHGB,INMHGB,INMHGB@icegate.gov.in
Mulund ICD,MUL,INMUL6,inmul6@icegate.gov.in
MUMBAI (EPZ/SEZ),BOM,INBOM6,INBOM6@icegate.gov.in
Mumbai Sea,BOM,INBOM1,inbom1@icegate.gov.in
MUNDRA PORT & SEZ LTD,INAJM6,INAJM6,INAJM6@icegate.gov.in
Mundra Sea,MUN,INMUN1,inmun1@icegate.gov.in
NAGAPATTINAM,NPT,INNPT1,innpt1@icegate.gov.in
Nagpur Air cargo,NAG,INNAG4,INNAG4@icegate.gov.in
Nagpur ICD,NGP,INNGP6,inngp6@icegate.gov.in
NAVI MUMBAI INTERNATIONAL AIRP,NMI,INNMI4,innmi4@icegate.gov.in
Navlakhi Port,INNAV1,INNAV1,innav1@icegate.gov.in
Naya Raipur Concord ICD,RML,INRML6,INRML6@icegate.gov.in
NDR Infrastructure Private Lim,INNPK6,INNPK6,INNPK6@icegate.gov.in
Nellore (ASDI Pvt. Ltd.-SEZ) I,BDM,INSPE6,INSPE6@icegate.gov.in
New Chennai Township Pvt. Ltd ,INCJC6,INCJC6,INCJC6@icegate.gov.in
Nhava Sheva Sea,NSA,INNSA1,innsa1@icegate.gov.in
NIPL-SEZ/Sriperumbudur ,CJN,INCJN6,incjn6@icegate.gov.in
Noida (EPZ/SEZ),NDA,INNDA6,innda6@icegate.gov.in
Okha Port,OKH,INOKH1,
OLD MANGALORE PORT,INIXE1,INIXE1,INIXE1@icegate.gov.in
OLD MUNDRA PORT,INOMU1,INOMU1,inomu1@icegate.gov.in
"Pakwara, Moradabad ICD",MBD,INMBD6,inmbd6@icegate.gov.in
Pali ICD Rewari,PKR,INPKR6,INPKR6@icegate.gov.in
Palwal ICD,PWL,INPWL6,INPWL6@icegate.gov.in
PANAJI PORT,PAN,INPAN1,INPAN1@icegate.gov.in
Panipat ICD,PNP,INPNP6,inpnp6@icegate.gov.in
Panitanki,NTB,INPNTB,inpntb@icegate.gov.in
Paradeep Port,PRT,INPRT1,inprt1@icegate.gov.in
PARRY SUGAR REFINERY SEZ,INCOP6,INCOP6,incop6@icegate.gov.in
Patli ICD,PTL,INPTL6,inptl6@icegate.gov.in
Patparganj ICD,PPG,INPPG6,inppg6@icegate.gov.in
"PCCCC, Bandra Kurla Complex",DPC,INDPC4,indpc4@icegate.gov.in
Pertapole,PTP,INPTPB,inptpb@icegate.gov.in
Pimpri,PMP,INPMP6,inpmp6@icegate.gov.in
Pipavav,PAV,INPAV1,inpav1@icegate.gov.in
Pipavav (Victor) Port,PAV,INPAV6,inpav6@icegate.gov.in
Pithampur,IND,ININD6,inind6@icegate.gov.in
PONDICHERRY,PNY,INPNY1,inpny1@icegate.gov.in
Porbandar,PBD,INPBD1,INPBD1@icegate.gov.in
PORT BLAIR,IXZ,INIXZ1,INIXZ1@icegate.gov.in
PSWC DHANDARI KALAN LUDHIANA ICD,DDL,INDDL6,INDDL6@icegate.gov.in
Pulichappallam ICD,PNY,INPNY6,inpny6@icegate.gov.in
PUNE AIR CARGO,INPNQ,INPNQ4,INPNQ4@icegate.gov.in
Raakiyapalayam ICD,TUP,INTUP6,intup6@icegate.gov.in
RAIGANJ RAILWAY STATION,RGJ,INRGJ2,inrgj2@icegate.gov.in
Raipur ICD,RAI,INRAI6,inrai6@icegate.gov.in
RAJSICO Basni Jodnpur ICD,JUX,INJUX6,injux6@icegate.gov.in
Ranaghat Railway Station,RNG,INRNG2,inrng2@icegate.gov.in
RANPAR PORT,RNR,INRNR1,inrnr1@icegate.gov.in
Raxaul,RXLB,INRXLB,inrxlb@icegate.gov.in
REDI PORT,RED,INRED1,inred1@icegate.gov.in
Revdanda Port,RVD,INRVD1,inrvd1@icegate.gov.in
Rewari ICD,REA,INREA6,inrea6@icegate.gov.in
RPCIPL SEZ/Visakhapatnam,AKR,INAKR6,inakr6@icegate.gov.in
Sachin ICD,SAC,INSAC6,insac6@icegate.gov.in
Sahar Air Cargo,BOM,INBOM4,inbom4@icegate.gov.in
Saharanpur ICD,BDM,INSRE6,INSRE6@icegate.gov.in
SATTVA Bengaluru ICD,KQZ,INKQZ6,inkqz6@icegate.gov.in
SDB Diamond Bourse,INSTV4,INSTV4,INSTV4@icegate.gov.in
SE&C LTD-SEZ/COIMBATORE,BDM,INCBS6,INCBS6@icegate.gov.in
SHB ICD SURAT,HIR,INHIR6,INHIR6@icegate.gov.in
Shed Kidderpore TT,TTS,INTTS1,intts1@icegate.gov.in
Singanallur ICD,SLL,INSLL6,insll6@icegate.gov.in
SINGHABAD RAILWAY STATION,INSNG2,INSNG2,INSNG2@icegate.gov.in
SIPCOT Limited Electronic-Hard,CJS,INCJS6,incjs6@icegate.gov.in
SIPCOT SEZ (Sriperumbudur),INCJS6,INCJS6,INCJS6@icegate.gov.in
SONABARSA,INSNBB,INSNBB,INSNBB@icegate.gov.in
SONAULI LCS,INSNLB,INSNLB,insnlb@icegate.gov.in
Sonepat ICD,BDM,INBDM6,INBDM6@icegate.gov.in
SRI CITY SEZ,INTAS6,INTAS6,INTAS6@icegate.gov.in
Srinagar,INSXR,INSXR4,insxr4@icegate.gov.in
Sriperumbudur (SIPCOT Hi-Tech-,CJO,INCJO6,INCJO6@icegate.gov.in
Startrack Terminal,STT,INSTT6,instt6@icegate.gov.in
SURAT APPAREL PARK,SCH,INSCH6,INSCH6@icegate.gov.in
Surat ICD,STV,INSTV6,instv6@icegate.gov.in
Talegaon Pune ICD,TLG,INTLG6,intlg6@icegate.gov.in
Tarapur ICD,BNG,INBNG6,INBNG6@icegate.gov.in
THAR DRY PORT,SAU,INSAU6,insau6@icegate.gov.in
Thar Dry Port Jodhpur ICD,THA,INTHA6,intha6@icegate.gov.in
Thudialur ICD,TDE,INTDE6,intde6@icegate.gov.in
TIRUCHIRAPALLI AIR CARGO,NAG,INTRZ4,INTRZ4@icegate.gov.in
Tirupur,TUP,INTUP6,intup6@icegate.gov.in
Trident Terminal Pvt. Ltd.,TTP,INTTP6,inttp6@icegate.gov.in
Trivendrum Aircargo,TRV,INTRV4,intrv4@icegate.gov.in
Tuglakabad ICD,TKD,INTKD6,intkd6@icegate.gov.in
TUNA PORT,TUN,INTUN1,intun1@icegate.gov.in
Tuticorin ICD,TUT,INTUT6,intut6@icegate.gov.in
Tuticorin Sea,TUT,INTUT1,intut1@icegate.gov.in
Valvada ICD,VPI,INVPI6,invpi6@icegate.gov.in
Varanasi Air Cargo,VNS,INVNS4,INVNS4@icegate.gov.in
VEDANTASEZJHARSUGUDA,JHV,INJHV6,injhv6@icegate.gov.in
Veerapandi ICD,THO,INTHO6,intho6@icegate.gov.in
VERNA ICD,MDG,INMDG6,INMDG6@icegate.gov.in
VIJAYDURG PORT,VYD,INVYD1,INVYD1@icegate.gov.in
Visakhapatnam,VTZ,INVTZ4,invtz4@icegate.gov.in
Visakhapatnam Special Economic,VTZ,INVTZ6,INVTZ6@icegate.gov.in
Vizag Sea,VTZ,INVTZ1,invtz1@icegate.gov.in
VIZHINJAM PORT,VZJ,INVZJ1,INVZJ1@icegate.gov.in
Waluj ICD,WAL,INWAL6,inwal6@icegate.gov.in
Zydus Infrastructure Pvt. Ltd.,ZIP,INZIP6,INZIP6@icegate.gov.in
